"responseData__cityentity_id","responseData__id","responseData__name","responseData__max_level","responseData__blueprints__number_of_pieces","responseData__blueprints__building_id","responseData__blueprints__piece_number","responseData__blueprints__amount","responseData__blueprints____class__","responseData__description","responseData__inStock","responseData__item__upgradeItemId","responseData__item__selectionKitId","responseData__item__target","responseData__item__resource_package__cost____class__","responseData__item__resource_package__gain","responseData__item__resource_package____class__","responseData__item__cityEntityId","responseData__item__level","responseData__item__reward__type","responseData__item__reward__subType","responseData__item__reward__amount","responseData__item__reward__id","responseData__item__reward__name","responseData__item__reward__description","responseData__item__reward__iconAssetName","responseData__item__reward__isHighlighted","responseData__item__reward__assembledReward__type","responseData__item__reward__assembledReward__subType","responseData__item__reward__assembledReward__amount","responseData__item__reward__assembledReward__id","responseData__item__reward__assembledReward__name","responseData__item__reward__assembledReward__description","responseData__item__reward__assembledReward__iconAssetName","responseData__item__reward__assembledReward__isHighlighted","responseData__item__reward__assembledReward__flags__-","responseData__item__reward__assembledReward____class__","responseData__item__reward__requiredAmount","responseData__item__reward__possible_rewards__drop_chance","responseData__item__reward__possible_rewards__reward__type","responseData__item__reward__possible_rewards__reward__subType","responseData__item__reward__possible_rewards__reward__id","responseData__item__reward__possible_rewards__reward__name","responseData__item__reward__possible_rewards__reward__iconAssetName","responseData__item__reward__possible_rewards__reward__possible_rewards__drop_chance","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__type","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__subType","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__amount","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__id","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__name","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__description","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__iconAssetName","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__duration","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__value","responseData__item__reward__possible_rewards__reward__possible_rewards__reward____class__","responseData__item__reward__possible_rewards__reward__possible_rewards____class__","responseData__item__reward__possible_rewards__reward____class__","responseData__item__reward__possible_rewards____class__","responseData__item__reward____class__","responseData__item__boostType","responseData__item__value","responseData__item__duration","responseData__item____class__","responseData__itemAssetName","responseData__availableFrom","responseData__exchangeBaseValue__|","responseData__exchangeBaseValue__|__trade_coins","responseData__exchangeBaseValue__|__gemstones","responseData__exchangeBaseValue____class__","responseData__locked","responseData__sortPriority__001","responseData__sortPriority__002","responseData__sortPriority__003","responseData__sortPriority__004","responseData__sortPriority__005","responseData__sortPriority__006","responseData__time","responseData____class__","responseData","requestClass","requestMethod","requestId","__class__"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","MessageService","newMessage","10","ServerResponse"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1656022878","Time","","TimeService","updateTime","10","ServerResponse"
"","27029439","20%-Angriffs-Trank","","","","","","","Benutze diesen Trank, um die Angriffswerte deiner angreifenden Einheiten 8 Std. lang um 20% zu verbessern. Es kann nur ein Angriffs-Trank auf einmal aktiv sein.","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","att_boost_attacker","20","28800","BoostItemPayload","boost_attack_large","","minValues","1620","0","ItemExchangeValue","True","8","2","2147483620","","","","","InventoryItem","","InventoryService","getItems","10","ServerResponse"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","1620","0","","","","","","","","","","","","","","",""
"","15543682","10%-Angriffs-Trank","","","","","","","Benutze diesen Trank, um die Angriffswerte deiner angreifenden Einheiten 8 Std. lang um 10% zu verbessern. Es kann nur ein Angriffs-Trank auf einmal aktiv sein.","2044","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","att_boost_attacker","10","28800","BoostItemPayload","boost_attack_medium","","minValues","810","0","ItemExchangeValue","","8","2","2147483630","","","","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","810","0","","","","","","","","","","","","","","",""
"","18649533","5%-Angriffs-Trank","","","","","","","Benutze diesen Trank, um die Angriffswerte deiner angreifenden Einheiten 8 Std. lang um 5% zu verbessern. Es kann nur ein Angriffs-Trank auf einmal aktiv sein.","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","att_boost_attacker","5","28800","BoostItemPayload","boost_attack_small","","minValues","405","0","ItemExchangeValue","","8","2","2147483635","","","","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","405","0","","","","","","","","","","","","","","",""
"","18111964","Trank-Kiste","","","","","","","Dieser Gegenstand wird deinem Inventar hinzugefügt. Wenn du ihn nutzt, erhältst du ein zufälliges Boost-Item.","46","","","","","","","","","chest","","","boost_crate","Trank-Kiste","","boost_crate","","","","","","","","","","","","","30","chest","","random_boost_item_coins","Zufälliger Münz-Trank","boost_coins_medium","60","consumable","boost_item","1","coin_boost_small_8h","10%-Münz-Trank","Benutze diesen Gegenstand, um deine Münz-Produktionen in der Stadt 8 Std. lang um 10% zu steigern!","boost_coins_small","28800","10","TimedReward","GenericChestReward","GenericChest","GenericChestReward","GenericChest","","","","RewardItemPayload","boost_crate","","minValues","513","0","ItemExchangeValue","","10","","","","","","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","consumable","boost_item","1","coin_boost_medium_8h","50%-Münz-Trank","Benutze diesen Gegenstand, um deine Münz-Produktionen in der Stadt 8 Std. lang um 50% zu steigern!","boost_coins_medium","28800","50","TimedReward","GenericChestReward","","","","","","","","","","maxValues","513","0","","","","","","","","","","","","","","",""
